,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g)
1749,BEEF,43.75,405,15.5,37.57,3.16,0.03,0.0,0.0
1751,BEEF,51.12,332,18.21,27.98,2.34,0.35,0.0,0.0
1774,CEREALS,2.12,259,13.14,4.9,5.6,74.24,29.3,15.69
1775,CEREALS,1.2,389,10.0,4.6,3.9,80.3,7.1,21.0
1776,CEREALS,2.5,375,5.1,3.4,1.4,88.2,9.3,43.7
1777,CEREALS,3.0,257,8.9,2.5,4.48,81.0,42.5,26.7
1778,CEREALS,2.5,398,4.39,5.12,2.48,85.51,2.5,44.32
1779,CEREALS,2.5,397,4.45,4.83,2.28,85.93,2.6,44.2
1780,CEREALS,2.5,417,7.1,9.23,2.52,78.65,2.7,33.36
1781,CEREALS,5.13,376,12.09,6.73,2.81,73.23,9.4,4.36
1782,CEREALS,2.81,389,4.6,2.7,2.3,87.9,1.4,38.6
1783,CEREALS,2.5,397,4.8,4.1,2.9,85.7,1.6,35.8
1784,CEREALS,2.3,380,5.2,4.4,3.5,84.5,5.1,34.8
1785,CEREALS,2.5,331,6.37,4.06,3.39,83.68,15.3,20.66
1786,CEREALS,2.5,370,6.4,2.4,3.7,85.0,4.7,11.1
1787,CEREALS,3.76,357,7.5,0.4,4.0,84.1,3.3,9.5
1788,CEREALS,3.0,395,9.2,14.1,3.3,70.3,12.7,28.0
1789,CEREALS,3.62,394,6.69,1.26,2.22,86.22,0.7,12.12
1790,CEREALS,2.5,327,10.2,2.5,3.2,81.6,17.3,18.8
1791,CEREALS,3.4,328,9.9,2.1,4.1,80.5,18.3,18.6
1792,CEREALS,2.5,375,5.3,3.4,1.45,88.0,9.3,41.7
1793,CEREALS,4.8,350,9.2,1.6,1.4,83.4,10.8,20.3
1794,CEREALS,2.5,384,4.3,0.4,1.5,91.3,0.5,40.2
1795,CEREALS,3.0,402,4.62,4.02,2.5,86.1,0.8,34.28
1796,CEREALS,2.2,374,5.3,3.2,4.2,85.1,5.6,35.0
1797,CEREALS,5.84,489,13.67,24.31,2.31,53.88,8.9,19.8
1798,CEREALS,3.5,361,11.22,1.81,2.98,80.49,13.0,8.86
1799,CEREALS,3.3,376,9.4,3.7,1.6,82.0,10.2,15.2
1800,CEREALS,2.86,376,8.85,5.0,3.6,79.69,7.1,32.89
1801,CEREALS,1.5,394,6.01,2.93,2.93,86.63,3.2,31.51
1802,CEREALS,3.35,381,6.41,3.44,2.95,83.85,3.4,20.27
1803,CEREALS,2.79,357,7.69,3.46,3.23,82.82,8.8,9.76
1804,CEREALS,4.3,374,9.98,4.43,3.56,77.74,6.6,19.43
1805,CEREALS,4.15,380,7.67,5.02,2.27,80.89,5.0,36.13
1806,CEREALS,2.19,421,10.55,11.62,1.98,73.65,10.2,20.34
1807,CEREALS,2.2,375,6.3,2.0,3.2,86.67,3.9,28.1
1808,CEREALS,3.5,374,8.5,1.3,2.58,84.3,2.8,12.5
1809,CEREALS,2.0,406,4.51,6.08,2.39,85.03,2.3,43.36
1810,CEREALS,10.4,318,7.72,2.72,1.87,77.29,11.4,31.3
1811,CEREALS,8.6,324,7.6,1.6,3.2,78.9,13.7,32.9
1812,CEREALS,2.59,375,6.4,1.89,4.0,85.09,2.0,8.0
1813,CEREALS,5.06,381,6.75,2.05,1.1,85.05,0.4,9.87
1814,CEREALS,3.91,383,7.01,0.9,0.41,87.78,1.4,0.0
1815,CEREALS,3.0,377,17.79,1.79,4.0,73.4,1.4,12.69
1816,CEREALS,3.0,387,4.8,1.3,1.2,89.7,8.4,31.3
1817,CEREALS,4.18,369,3.96,1.68,0.98,89.2,2.2,35.43
1818,CEREALS,2.9,380,5.7,2.2,0.69,88.5,5.0,56.2
1819,CEREALS,1.4,380,5.5,1.7,0.8,90.1,5.0,53.6
1820,CEREALS,3.68,357,10.71,5.36,4.29,75.5,10.7,3.57
1821,CEREALS,2.67,320,8.4,2.1,12.1,74.7,9.1,16.4
1822,CEREALS,1.89,384,4.9,3.79,3.0,86.19,3.9,32.0
1823,CEREALS,3.0,373,8.5,2.9,2.1,83.6,10.7,20.7
1824,CEREALS,2.5,345,9.8,1.8,3.6,82.2,12.2,10.3
1825,CEREALS,2.5,385,3.32,0.35,3.24,90.59,1.9,46.88
1826,CEREALS,5.6,382,29.1,10.7,5.0,49.6,15.1,7.8
1827,CEREALS,3.4,372,26.55,7.78,4.14,58.11,10.2,21.43
1828,CEREALS,2.5,370,8.3,4.09,3.7,81.4,8.7,21.2
1829,CEREALS,2.6,353,8.3,2.3,3.5,83.3,10.1,15.2
1830,CEREALS,10.92,370,7.65,1.75,0.6,79.09,4.6,0.57
1831,CEREALS,82.93,71,1.71,0.46,0.15,14.76,0.8,0.12
1832,CEREALS,7.2,343,7.31,2.14,4.55,78.42,4.2,1.51
1833,CEREALS,81.22,74,1.58,0.49,0.76,15.95,1.1,0.1
1834,CEREALS,6.71,363,8.98,5.46,5.89,72.96,4.2,2.76
1835,CEREALS,7.37,340,9.93,1.73,5.59,75.39,5.1,0.38
1836,CEREALS,10.5,370,6.3,0.5,0.4,82.4,0.7,0.3
1837,CEREALS,87.5,52,0.9,0.1,0.1,11.4,0.1,0.04
1838,CEREALS,10.9,370,10.5,1.5,0.6,76.5,3.8,0.2
1839,CEREALS,87.61,50,1.44,0.21,0.21,10.52,0.5,0.03
1840,CEREALS,11.08,360,11.6,1.41,2.72,73.19,4.2,0.56
1841,CEREALS,86.55,55,1.82,0.34,0.38,10.92,0.8,0.76
1842,CEREALS,10.4,366,10.6,1.4,2.1,75.5,3.3,0.4
1843,CEREALS,84.4,62,1.84,0.24,0.45,13.08,0.6,0.07
1844,CEREALS,86.55,53,1.82,0.34,0.38,10.92,0.8,0.76
1845,CEREALS,10.35,365,11.8,0.7,0.6,77.25,2.1,0.0
1846,CEREALS,10.84,379,13.15,6.52,1.77,67.7,10.1,0.99
1847,CEREALS,83.61,71,2.54,1.52,0.34,12.0,1.7,0.27
1848,CEREALS,8.92,362,11.92,6.9,2.75,69.52,10.0,1.5
1849,CEREALS,84.03,68,2.37,1.36,0.56,11.67,1.7,0.46
1850,CEREALS,6.62,366,8.62,4.61,3.4,76.74,8.3,28.87
1851,CEREALS,6.92,369,9.53,4.84,2.63,76.08,8.0,25.33
1852,CEREALS,76.74,96,2.37,1.21,0.73,18.95,2.0,6.31
1853,CEREALS,6.28,368,9.2,4.63,2.97,76.91,7.2,30.02
1854,CEREALS,8.44,360,8.45,4.03,2.75,76.33,5.7,37.14
1855,CEREALS,78.44,88,1.98,0.95,0.72,17.91,1.3,8.71
1856,CEREALS,2.19,387,6.94,3.53,4.57,82.77,4.9,40.91
1857,CEREALS,6.5,357,13.1,2.9,1.9,75.6,12.8,1.6
1858,CEREALS,85.4,56,2.0,0.5,0.3,11.8,2.7,
1859,CEREALS,9.9,342,11.2,2.0,1.6,75.2,9.5,0.42
1860,CEREALS,83.6,62,2.0,0.4,0.3,13.7,1.6,0.08
1861,CEREALS,3.69,366,16.26,2.15,1.51,76.39,9.4,1.37
1862,CEREALS,6.1,337,11.37,2.01,1.56,78.96,12.4,0.94
1863,CEREALS,3.0,351,11.8,2.1,1.7,81.4,12.4,0.9
1864,CEREALS,3.0,402,6.3,0.5,0.4,89.8,1.7,
1865,CEREALS,3.0,364,14.7,1.2,1.5,79.6,4.4,
1866,CEREALS,11.37,368,6.72,1.49,0.52,79.91,3.9,0.55
1867,CEREALS,10.0,371,8.8,1.2,0.4,79.6,1.6,0.64
1868,CEREALS,82.93,71,1.71,0.46,0.15,14.76,0.8,0.12
1869,CEREALS,84.36,65,1.23,0.39,0.15,13.86,0.7,0.09
1870,CEREALS,84.36,65,1.23,0.39,0.15,13.86,0.7,0.09
1871,CEREALS,87.5,52,0.9,0.1,0.3,11.5,0.1,0.04
1872,CEREALS,87.14,50,1.46,0.21,0.53,10.66,0.5,0.03
1873,CEREALS,10.5,369,10.6,0.5,0.4,78.0,1.9,
1874,CEREALS,86.55,53,1.82,0.34,0.38,10.92,0.8,0.76
1875,CEREALS,6.69,363,10.6,0.82,2.34,79.55,2.8,16.63
1876,CEREALS,83.61,71,2.54,1.52,0.34,12.0,1.7,0.27
